No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower
287,F,Kitawase,Thrum,F-T02,9.43,88.92,8.43,71.13,98
288,F,Kitawase,Thrum,F-T02,7.41,54.91,4.32,18.66,38
289,F,Kitawase,Thrum,F-T02,12.37,153.02,8.11,65.77,91
290,F,Kitawase,Thrum,F-T02,15.34,235.32,10.26,105.27,78
291,F,Kitawase,Thrum,F-T02,15.56,242.11,7.23,52.27,76
292,F,Kitawase,Thrum,F-T03,6.89,47.47,3.87,14.98,NA
293,F,Kitawase,Thrum,F-T03,13.97,195.16,5.11,26.11,NA
294,F,Kitawase,Thrum,F-T03,5.42,29.38,5.89,34.69,NA
295,F,Kitawase,Thrum,F-T03,4.04,16.32,3.94,15.52,NA
296,F,Kitawase,Thrum,F-T03,5.4,29.16,5.06,25.6,NA
297,F,Kitawase,Thrum,F-T03,9.29,86.3,3.98,15.84,NA
298,F,Kitawase,Thrum,F-T03,8.53,72.76,5.26,27.67,NA
299,F,Kitawase,Thrum,F-T03,16.47,271.26,5.07,25.7,NA
300,F,Kitawase,Thrum,F-T03,5.02,25.2,2.8,7.84,NA
301,F,Kitawase,Thrum,F-T03,9.44,89.11,4.07,16.56,NA
302,F,Kitawase,Thrum,F-T03,15.94,254.08,8.1,65.61,NA
303,F,Kitawase,Thrum,F-T03,14.45,208.8,5.44,29.59,NA
304,F,Kitawase,Thrum,F-T03,4.25,18.06,3.61,13.03,NA
305,F,Kitawase,Thrum,F-T03,12.82,164.45,9.4,88.36,NA
306,F,Kitawase,Thrum,F-T03,9.18,84.27,8.43,71.06,NA
307,F,Kitawase,Thrum,F-T03,11.09,122.99,10.71,114.7,NA
308,F,Kitawase,Thrum,F-T03,8.1,65.61,4.21,17.72,NA
309,F,Kitawase,Thrum,F-T03,10.67,113.85,3.63,13.18,NA
310,F,Kitawase,Thrum,F-T03,8.99,80.82,3.86,14.9,NA
311,F,Kitawase,Thrum,F-T03,15.08,227.41,4.66,21.72,NA
312,F,Kitawase,Thrum,F-T03,5.1,26.01,4.06,16.48,NA
313,F,Kitawase,Thrum,F-T03,4.54,20.61,3.62,13.1,NA
314,F,Kitawase,Thrum,F-T03,7.55,57,3.02,9.12,NA
315,F,Kitawase,Thrum,F-T03,2.75,7.56,2.91,8.47,NA
316,F,Kitawase,Thrum,F-T03,9.49,90.06,3.08,9.49,NA
317,F,Kitawase,Thrum,F-T03,2.62,6.86,2.12,4.49,8
318,F,Kitawase,Thrum,F-T03,8.84,78.15,3.94,15.52,30
319,F,Kitawase,Thrum,F-T03,5.26,27.67,3.7,13.69,18
320,F,Kitawase,Thrum,F-T03,19.27,371.33,4.61,21.25,75
321,F,Kitawase,Thrum,F-T03,6.2,38.44,5.28,27.88,38
322,F,Kitawase,Thrum,F-T03,7.61,57.91,3.2,10.24,30
323,F,Kitawase,Thrum,F-T03,11.87,140.9,5.39,29.1,75
324,F,Kitawase,Thrum,F-T03,17.04,290.36,NA,NA,40
325,F,Kitawase,Thrum,F-T03,8.65,74.82,7.65,58.52,98
326,F,Kitawase,Thrum,F-T03,6.61,43.69,5.34,28.52,30
327,F,Kitawase,Thrum,F-T03,11.64,135.49,14.81,219.34,250
328,F,Kitawase,Pin,F-P03,8.39,70.39,4.1,16.81,NA
329,F,Kitawase,Pin,F-P03,18.43,339.66,4.15,17.22,NA
330,F,Kitawase,Pin,F-P03,27.78,771.73,4.94,24.4,NA
331,F,Kitawase,Pin,F-P03,14.91,222.31,4.7,22.09,NA
332,F,Kitawase,Pin,F-P03,13.63,185.78,7.09,50.27,NA
333,F,Kitawase,Pin,F-P03,18.2,331.24,3.48,12.11,NA
334,F,Kitawase,Pin,F-P03,17.13,293.44,4.66,21.72,NA
335,F,Kitawase,Pin,F-P03,21.09,444.79,4.22,17.81,NA
336,F,Kitawase,Pin,F-P03,16.42,269.62,4.27,18.23,NA
337,F,Kitawase,Pin,F-P03,23.93,572.64,4.05,16.4,NA
338,F,Kitawase,Pin,F-P03,14.61,213.45,5.68,32.26,NA
339,F,Kitawase,Pin,F-P03,27.05,731.7,4.54,20.61,NA
340,F,Kitawase,Pin,F-P03,18.36,337.09,10.31,106.3,NA
341,F,Kitawase,Pin,F-P03,34.56,1194.39,4.56,20.79,NA
342,F,Kitawase,Pin,F-P03,20.9,436.81,4.56,20.79,NA
343,F,Kitawase,Pin,F-P03,18.18,330.51,3.96,15.68,NA
344,F,Kitawase,Pin,F-P03,13.09,171.35,11.23,126.11,NA
345,F,Kitawase,Pin,F-P03,14.88,221.41,4.19,17.56,NA
346,F,Kitawase,Pin,F-P03,15.12,228.61,6.97,48.58,NA
347,F,Kitawase,Pin,F-P03,22.05,486.2,4.69,22,NA
348,F,Kitawase,Pin,F-P03,4.28,18.32,4.03,16.24,19
349,F,Kitawase,Pin,F-P03,15.77,248.69,4.02,16.16,55
350,F,Kitawase,Pin,F-P03,NA,NA,NA,NA,66
351,F,Kitawase,Pin,F-P03,17.19,295.5,5,25,69
352,F,Kitawase,Pin,F-P03,20.63,425.6,5.15,26.52,90
