No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower,estimate00,mixed
163,F,Kitawase,Thrum,F-T01,13.84,191.55,5.05,25.5,NA,105.7325127,106
164,F,Kitawase,Thrum,F-T01,12.36,152.77,5.94,35.28,NA,110.2518674,110
165,F,Kitawase,Thrum,F-T01,16.9,285.61,10.96,120.12,NA,227.7693992,228
166,F,Kitawase,Thrum,F-T01,7.75,60.06,3.98,15.84,23,37.59277035,23
167,F,Kitawase,Thrum,F-T01,5.07,25.7,3.74,13.99,10,11.8492166,10
168,F,Kitawase,Thrum,F-T01,9.38,87.98,5.27,27.77,33,74.6248165,33
169,F,Kitawase,Thrum,F-T01,10.66,113.64,4.41,19.45,48,68.71029574,48
170,F,Kitawase,Thrum,F-T01,11.13,123.88,6.58,43.3,56,111.8772541,56
171,F,Kitawase,Thrum,F-T01,NA,NA,NA,NA,36,NA,36
172,F,Kitawase,Thrum,F-T01,9.43,88.92,7.57,57.3,74,115.4753051,74
173,F,Kitawase,Thrum,F-T01,11.43,130.64,5.86,34.34,53,101.4858461,53
174,F,Kitawase,Thrum,F-T01,12.97,168.22,5.48,30.03,63,106.75756,63
175,F,Kitawase,Pin,F-P02,16.79,281.9,7.03,49.42,NA,164.2975025,164
176,F,Kitawase,Pin,F-P02,15.8,249.64,5.52,30.47,NA,129.7924566,130
177,F,Kitawase,Pin,F-P02,11.54,133.17,6.17,38.07,NA,107.8863413,108
178,F,Kitawase,Pin,F-P02,17.55,308,9.94,98.8,NA,217.601642,218
179,F,Kitawase,Pin,F-P02,14.91,222.31,9.18,84.27,NA,184.9613335,185
180,F,Kitawase,Pin,F-P02,14.36,206.21,5.47,29.92,NA,117.532474,118
181,F,Kitawase,Pin,F-P02,16.26,264.39,8.78,77.09,NA,189.2256448,189
182,F,Kitawase,Pin,F-P02,12.79,163.58,8.03,64.48,NA,149.6413985,150
183,F,Kitawase,Pin,F-P02,10.13,102.62,5.22,27.25,NA,79.6179402,80
184,F,Kitawase,Pin,F-P02,12.32,151.78,4.16,17.31,NA,77.05316624,77
185,F,Kitawase,Pin,F-P02,10.62,112.78,6.48,41.99,NA,106.1065901,106
186,F,Kitawase,Pin,F-P02,10.45,109.2,5.12,26.21,NA,80.30278455,80
187,F,Kitawase,Pin,F-P02,15.14,229.22,8.15,66.42,NA,170.1474752,170
188,F,Kitawase,Pin,F-P02,9.27,85.93,6.2,38.44,NA,90.52554545,91
189,F,Kitawase,Pin,F-P02,11.72,137.36,5.83,33.99,NA,103.2327581,103
190,F,Kitawase,Pin,F-P02,13.25,175.56,5.2,27.04,NA,103.844611,104
191,F,Kitawase,Pin,F-P02,12.72,161.8,7.63,58.22,NA,142.416038,142
192,F,Kitawase,Pin,F-P02,12.73,162.05,9.27,85.93,NA,169.1978989,169
193,F,Kitawase,Pin,F-P02,13.15,172.92,6.36,40.45,NA,123.938438,124
194,F,Kitawase,Pin,F-P02,13.26,175.83,7.36,54.17,NA,142.1113915,142
195,F,Kitawase,Pin,F-P02,12.56,157.75,10.69,114.28,NA,189.5747376,190
196,F,Kitawase,Pin,F-P02,9.68,93.7,5.67,32.15,NA,84.26896804,84
197,F,Kitawase,Pin,F-P02,15.08,227.41,4.67,21.81,NA,108.4396762,108
198,F,Kitawase,Pin,F-P02,8.28,68.56,5.05,25.5,NA,61.90556266,62
199,F,Kitawase,Pin,F-P02,5.42,29.38,6.31,39.82,NA,62.12302643,62
200,F,Kitawase,Pin,F-P02,20.18,407.23,5.41,29.27,NA,162.3147218,162
201,F,Kitawase,Pin,F-P02,14.13,199.66,4.95,24.5,NA,106.1679912,106
202,F,Kitawase,Pin,F-P02,14.09,198.53,4.29,18.4,NA,93.478538,93
203,F,Kitawase,Pin,F-P02,11.88,141.13,4.42,19.54,NA,78.51526893,79
204,F,Kitawase,Pin,F-P02,16.13,260.18,5.24,27.46,NA,127.2800796,127
205,F,Kitawase,Pin,F-P02,15.21,231.34,5.89,34.69,NA,131.8208921,132
206,F,Kitawase,Pin,F-P02,18.43,339.66,4.95,24.5,NA,140.0629346,140
